Model,Macro_F1,Micro_F1,Macro_Precision,Micro_Precision,Macro_Recall,Micro_Recall,mAP
NoGAT,0.08179026971892196,0.060637608238337,0.07462841563057321,0.0312909799771973,0.10097136037711071,0.9758574899700514,0.09540370607709946
NoCrossAttn,0.0892195296514593,0.060873108209140554,0.08112462494315945,0.03141394982967931,0.10727113709634337,0.9782449002655818,0.10357406213690781
NoHierLoss,0.0869629751755799,0.8225760521004867,0.08247374850774261,0.7321204240407291,0.10312591025851323,0.9385347799061988,0.09989348705357011
NoLabelGuidedAttn,0.08929205565316257,0.06012957813794562,0.08416811712545542,0.031026042779371918,0.10499093781135298,0.9703904616601684,0.10328950108323419
NoConsistency,0.0783186457717353,0.6018315118897248,0.07154950084244814,0.5853720420917686,0.09879423195474354,0.6192433745832627,0.09927797459268703
NoPath,0.08814026205120822,0.06011648636097641,0.0816847728905539,0.031019317118823747,0.10443139623316196,0.9701503079618015,0.10190690757413523
NoHierMask,0.08232475962037088,0.042977322267721704,0.07637356312354313,0.022063444020859573,0.10649140538473079,0.8248573204497938,0.09930812506587122
Incremental_B2_GAT,0.09414620563417936,0.8483413224976986,0.08897075138607254,0.7704256374182686,0.10723868105433292,0.9437899078939933,0.10416328638185032
Incremental_B3_LGSA,0.09203855377229625,0.85898201861738,0.08606151161124885,0.7877063377045703,0.10483168307202347,0.944439735548398,0.1050399806843271
Incremental_B4_CrossAttn,0.08565616461313758,0.8219337146245352,0.0797992836628361,0.7302399086898308,0.10163494488410943,0.9399615754082613,0.0995899489164097
HierFashion_Full,0.08079994356474914,0.8816230029235005,0.08119551112708986,0.8835430825328812,0.0819348820385604,0.8797112504944341,0.09286426406277823
