Model,Group,n_attrs,Macro_F1,Micro_F1,mAP
CNNFlat,nickname,153,0.0313,0.0335,0.1246
CNNFlat,silhouette,25,0.1505,0.1904,0.2489
CNNFlat,waistline,7,0.2697,0.3021,0.3717
CNNFlat,length,15,0.2256,0.2421,0.4311
CNNFlat,neckline type,25,0.0588,0.0613,0.0997
CNNFlat,opening type,10,0.1479,0.1722,0.2721
CNNFlat,non textile material type,10,0.1188,0.1877,0.1891
CNNFlat,leather,4,0.0026,0.0026,0.0043
CNNFlat,textile finishing manufacturing techniques,21,0.104,0.1257,0.215
CNNFlat,textile pattern,18,0.0986,0.1339,0.1412
CNNFlat,animal,6,0.0054,0.0055,0.1062
CNNFlat,nickname group,153,0.0313,0.0335,0.1246
CNNFlat,non nickname groups,141,0.1218,0.15,0.2135
CNNHier,nickname,153,0.0314,0.0335,0.0894
CNNHier,silhouette,25,0.1505,0.1905,0.1954
CNNHier,waistline,7,0.2697,0.3021,0.3218
CNNHier,length,15,0.226,0.2424,0.3902
CNNHier,neckline type,25,0.0588,0.0613,0.0645
CNNHier,opening type,10,0.148,0.1724,0.2643
CNNHier,non textile material type,10,0.1188,0.1877,0.1548
CNNHier,leather,4,0.0026,0.0026,0.0057
CNNHier,textile finishing manufacturing techniques,21,0.104,0.1258,0.1818
CNNHier,textile pattern,18,0.0987,0.134,0.1194
CNNHier,animal,6,0.0055,0.0055,0.0673
CNNHier,nickname group,153,0.0314,0.0335,0.0894
CNNHier,non nickname groups,141,0.1219,0.1501,0.1786
CNNGAT,nickname,153,0.0313,0.0335,0.0729
CNNGAT,silhouette,25,0.1505,0.1904,0.1667
CNNGAT,waistline,7,0.2697,0.3021,0.2955
CNNGAT,length,15,0.2256,0.2421,0.3397
CNNGAT,neckline type,25,0.0588,0.0613,0.0499
CNNGAT,opening type,10,0.1479,0.1722,0.2495
CNNGAT,non textile material type,10,0.1188,0.1877,0.1234
CNNGAT,leather,4,0.0026,0.0026,0.0041
CNNGAT,textile finishing manufacturing techniques,21,0.104,0.1257,0.148
CNNGAT,textile pattern,18,0.0986,0.1339,0.0972
CNNGAT,animal,6,0.0054,0.0055,0.0314
CNNGAT,nickname group,153,0.0313,0.0335,0.0729
CNNGAT,non nickname groups,141,0.1218,0.15,0.1516
MLGCN,nickname,153,0.0315,0.0335,0.1049
MLGCN,silhouette,25,0.1507,0.1907,0.1996
